,Week,4046,4225,4770,Total Bagged,Total Volume,Price,  Sml Bagged,  Lrg Bagged,  XLrg Bagged
0,"Jan 11, 2004","4,265,761","4,243,384","52,653","270,145","8,831,943",1.14,,,
1,"Jan 18, 2004","4,329,963","4,628,360","55,893","323,018","9,337,234",1.13,,,
2,"Jan 25, 2004","4,692,960","4,743,630","86,055","309,007","9,831,652",1.09,,,
3,"Feb 1, 2004","8,352,293","8,588,426","216,352","369,575","17,526,646",0.88,,,
4,"Feb 8, 2004","5,056,271","5,413,608","99,135","407,924","10,976,938",1.01,,,
5,"Feb 15, 2004","4,600,737","4,534,108","106,008","295,071","9,535,924",1.09,,,
6,"Feb 22, 2004","4,933,657","4,898,833","89,992","325,594","10,248,076",1.06,,,
7,"Feb 29, 2004","4,672,635","5,890,553","89,060","346,611","10,998,859",1.02,,,
8,"Mar 7, 2004","4,368,266","4,986,470","98,834","417,609","9,871,179",1.09,,,
9,"Mar 14, 2004","4,134,591","6,235,106","167,181","505,942","11,042,820",1.06,,,
10,"Mar 21, 2004","4,883,434","5,251,778","97,152","388,772","10,621,136",1.08,,,
11,"Mar 28, 2004","5,185,475","5,384,377","102,849","691,843","11,364,544",1.06,,,
12,"Apr 4, 2004","4,475,869","6,254,093","171,048","582,846","11,483,856",1.09,,,
13,"Apr 11, 2004","4,236,278","5,734,935","114,888","572,456","10,658,557",1.18,,,
14,"Apr 18, 2004","5,151,189","6,489,452","117,929","525,282","12,283,852",1.05,,,
15,"Apr 25, 2004","4,524,589","6,088,070","111,907","526,312","11,250,878",1.07,,,
16,"May 2, 2004","7,313,035","7,926,863","128,518","521,576","15,889,992",0.95,,,
17,"May 9, 2004","7,501,765","7,648,107","195,053","666,599","16,011,524",0.92,,,
18,"May 16, 2004","5,095,263","5,332,273","111,427","483,216","11,022,179",1.08,,,
19,"May 23, 2004","6,408,517","5,575,190","83,601","382,953","12,450,261",1.03,,,
20,"May 30, 2004","6,300,484","6,671,190","84,853","456,058","13,512,585",1.06,,,
21,"Jun 6, 2004","7,658,855","5,734,427","112,707","619,071","14,125,060",1.00,,,
22,"Jun 13, 2004","6,685,310","5,816,591","121,135","567,981","13,191,017",1.01,,,
23,"Jun 20, 2004","5,949,933","5,496,684","121,851","556,576","12,125,044",1.07,,,
24,"Jun 27, 2004","5,291,699","4,702,015","123,538","736,154","10,853,406",1.13,,,
