,Week,ASP*,Total Volume,4046,4225,4770,Total Bagged,  Sml Bagged,  Lrg Bagged,  XLrg Bagged
0,12/25/2016,$1.00,"30,287,854","9,255,125","10,282,926","541,972","10,207,830","7,709,584","2,417,145","81,101"
1,12/18/2016,$0.96,"29,583,883","9,394,066","10,339,168","427,872","9,422,776","6,970,320","2,358,444","94,012"
2,12/11/2016,$0.98,"30,093,541","9,009,996","9,967,220","403,048","10,713,277","8,149,439","2,490,495","73,343"
3,12/4/2016,$1.00,"31,621,222","11,043,351","9,908,983","428,010","10,240,878","7,187,023","2,988,505","65,351"
4,11/27/2016,$1.21,"22,923,063","7,891,488","7,337,342","344,476","7,349,757","5,691,267","1,609,867","48,623"
5,11/20/2016,$1.27,"24,989,703","8,531,161","8,033,511","407,568","8,017,464","6,207,080","1,765,674","44,709"
6,11/13/2016,$1.36,"24,075,126","8,235,135","7,759,608","477,521","7,602,862","5,602,594","1,957,164","43,104"
7,11/6/2016,$1.44,"22,534,698","7,804,253","7,126,936","505,349","7,098,160","5,245,067","1,812,174","40,919"
8,10/30/2016,$1.43,"21,009,730","7,100,459","6,852,046","453,145","6,604,080","4,655,046","1,882,751","66,284"
9,10/23/2016,$1.34,"24,753,514","7,579,629","8,104,522","452,384","8,616,979","6,508,667","2,016,513","91,799"
10,10/16/2016,$1.30,"27,707,047","8,810,664","8,855,073","447,291","9,594,018","6,934,369","2,575,096","84,553"
11,10/9/2016,$1.27,"28,857,582","9,552,502","9,579,339","490,957","9,234,784","6,849,127","2,316,378","69,279"
12,10/2/2016,$1.23,"29,615,008","9,534,916","9,123,898","490,123","10,466,072","7,408,766","2,981,276","76,031"
13,9/25/2016,$1.22,"30,305,113","10,548,061","9,255,914","492,604","10,008,534","7,440,445","2,476,401","91,688"
14,9/18/2016,$1.15,"31,346,091","11,337,829","9,481,313","486,187","10,040,762","7,649,502","2,311,263","79,997"
15,9/11/2016,$1.08,"34,126,731","12,962,763","10,380,438","512,160","10,271,370","8,199,581","2,016,485","55,304"
16,9/4/2016,$1.04,"37,130,689","14,643,466","11,083,513","540,681","10,863,029","8,555,284","2,214,419","93,326"
17,8/28/2016,$1.09,"33,993,931","12,561,056","10,420,973","563,739","10,448,164","8,503,871","1,785,022","159,271"
18,8/21/2016,$1.10,"33,592,098","12,725,249","9,906,499","609,721","10,350,629","8,749,239","1,446,381","155,009"
19,8/14/2016,$1.12,"34,386,177","12,352,933","10,879,342","749,247","10,404,656","8,479,507","1,813,211","111,939"
20,8/7/2016,$1.15,"33,819,909","12,197,105","10,731,380","754,549","10,136,876","8,386,276","1,569,550","181,049"
21,7/31/2016,$1.23,"31,201,590","10,168,972","10,423,958","783,937","9,824,723","8,193,011","1,431,745","199,967"
22,7/24/2016,$1.20,"32,339,377","10,331,314","10,795,751","947,964","10,264,348","8,315,739","1,561,209","387,400"
23,7/17/2016,$1.15,"32,656,124","10,320,463","10,628,873","953,631","10,753,156","8,737,861","1,624,816","390,479"
